user_id,recommended_pratilipis
5506791971034189,"[1377786215504942, 1377786217544226, 1377786217540925, 1377786217541698, 1377786217828317]"
5506791979148264,"[1377786228205426, 1377786228324662, 1377786228184482, 1377786228271923, 1377786226057123]"
5506791963324181,"[1377786217541698, 1377786216539300, 1377786215774687, 1377786216925431, 1377786215944737]"
5506791951540192,"[1377786226392303, 1377786228205426, 1377786228184482, 1377786226392895, 1377786226298656]"
5506791976362828,"[1377786228250424, 1377786228235724, 1377786227547783, 1377786228324662, 1377786228227774]"
5506791949082789,"[1377786228237772, 1377786228266842, 1377786228244009, 1377786228209398, 1377786228342048]"
5506791974327199,"[-253947406543160, -531346459289912, 1377786217963012, -505365531027768, 1377786217838924]"
5506791986031868,"[1377786228205426, 1377786228127102, 1377786228244009, 1377786228200841, 1377786228217147]"
5506791954568139,"[1377786218992829, 1377786222893808, 1377786222995352, 1377786223037420, 1377786219235842]"
5506791977848190,"[1377786222941824, 1377786228209398, 1377786217541698, 1377786228190672, 379162179835592]"
5506791961746751,"[1377786220400659, 1377786220896749, 1377786220920595, 1377786220878786, 1377786223584650]"
5506791966004596,"[1377786228085111, 1377786219600159, 1377786226392303, 1377786226392891, 1377786218199459]"
5506791961411920,"[1377786228244009, 1377786224556465, 1377786228254151, 1377786221497315, 1377786221736728]"
5506791970288335,"[1377786225082013, 1377786224926009, 1377786224098410, 1377786225583834, 1377786225573016]"
5506791984814270,"[1377786228184482, 1377786228205426, 1377786228189551, 1377786228243348, 1377786228237216]"
5506791973408381,"[1377786219673093, 1377786219638504, 1377786228226721, 1377786228205426, 1377786219847951]"
5506791974786411,"[1377786228237216, 1377786228184482, 1377786228266128, 1377786226925067, 1377786228127102]"
5506791992111929,"[1377786228325321, 1377786227800674, 1377786228303496, 1377786226422162, 1377786228290620]"
5506791972358416,"[1377786215504942, 1377786215982409, 1377786217544226, 1377786217798064, 1377786216539300]"
5506791987095702,"[1377786217541698, 1377786217541005, 1377786215757333, 1377786216646845, 1377786215983914]"
5506791995106593,"[1377786228127102, 1377786227547783, 1377786228205426, 1377786228324662, 1377786228271923]"
5506791951710025,"[1377786215659344, 1377786220135852, 1377786226392303, 1377786228205426, 1377786222661799]"
5506791967796765,"[1377786228202777, 1377786228261413, 1377786228239892, 1377786228211616, 1377786228211574]"
5506791996546783,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228217147, 1377786226392303]"
5506791963864591,"[1377786220221261, 1377786223963169, 1377786218199459, 1377786219904029, 1377786228085111]"
5506791990984907,"[1377786215982409, 1377786216879687, -487510917343544, 1377786216908181, 1377786216247776]"
5506791955174527,"[1377786217541698, 1377786215983914, 841810243655368, 1377786216879687, 1377786216272047]"
5506791982592054,"[1377786217542469, 1377786217539749, 1377786217538997, 1377786216876722, 1377786216782951]"
5506791954457487,"[-253947406543160, 1377786220882687, 1377786223368046, 1377786228208545, 1377786223661582]"
5506791951985999,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786228217147]"
5506791990188635,"[1377786215659344, 1377786222719969, 1377786219736551, 1377786226392303, 1377786226298656]"
5506791955644696,"[1377786228240538, 1377786228237359, 1377786228262109, 1377786228211361, 1377786228188868]"
5506791992369773,"[1377786217645647, 1377786217641054, 1377786217658239, 1377786217650554, 1377786217616141]"
5506791965317950,"[1377786224071531, 1377786215504942, 1377786217828317, 1377786224902193, 1377786224118934]"
5506791963246990,"[1377786215504942, 1377786217718266, 1377786218196868, 1377786217540925, 1377786222165442]"
5506791970949691,"[1377786226393655, 1377786216539300, 1377786227436470, 1377786226298655, 1377786228239051]"
5506791954590760,"[1377786217541698, 1377786215529902, 1377786215757461, 1377786217719269, 1377786216539300]"
5506791968850092,"[1377786215659344, 1377786222719969, 1377786226392303, 1377786219904029, 1377786219736551]"
5506791996240944,"[1377786217541698, 1377786217541005, 1377786216646845, 1377786215983914, 1377786217538997]"
5506791956568104,"[1377786217810862, 1377786217685808, 1377786217862730, 1377786217690991, 1377786217741033]"
5506791952889092,"[1377786217541698, 1377786215941727, 1377786215944737, 1377786215757461, 1377786218106538]"
5506791996373225,"[1377786223948029, 1377786217542469, 1377786217662352, 1377786225315143, 1377786217539749]"
5506791962693484,"[1377786228085111, 1377786219600159, 1377786226392303, 1377786227816512, 1377786218199459]"
5506791996255403,"[1377786222570539, 1377786222601016, 1377786222647995, 1377786222527461, 1377786222573998]"
5506791996386695,"[1377786223359947, 1377786223473784, 1377786218106538, 1377786223543866, 1377786218156834]"
5506791976517824,"[1377786217542469, 1377786217539749, -487510917343544, 1377786217541005, 1377786217538997]"
5506791959548670,"[-253947406543160, 1377786216539300, 1377786226298656, 1377786226298657, -185042935834936]"
5506791966845199,"[1377786217620259, 1377786217608571, 1377786217641054, 1377786217616141, 1377786217658239]"
5506791995521043,"[1377786217539749, 1377786217542469, 1377786218260033, 1377786218131862, 1377786218161468]"
5506791981231535,"[1377786226253410, 1377786226095612, 1377786226265863, 1377786226644974, 1377786226662050]"
5506791959650622,"[1377786226298656, -253947406543160, 1377786215659344, 1377786226298655, 1377786225103297]"
5506791965778853,"[1377786217785194, 1377786220398598, 1377786228205426, 1377786220240317, 1377786228085111]"
5506791975190829,"[1377786217541698, 1377786216646845, 1377786215983914, 1377786217541005, 1377786215443919]"
5506791970993033,"[1377786217542469, 1377786215676162, -185042935834936, 1377786216539300, 1377786217539749]"
5506791965428322,"[1377786228215330, 1377786220882687, 1377786225787719, 1377786228320146, 1377786228208545]"
5506791996234726,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228217147, 1377786228244009]"
5506791996051505,"[1377786217541698, 1377786215983914, 1377786216689875, 1377786218254052, 1377786215757333]"
5506791979039581,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786226392303]"
5506791994794777,"[1377786217541698, 1377786218106538, 1377786216783094, 1377786217541005, 87762412934856]"
5506791965082914,"[1377786228205426, 1377786228324662, 1377786228127102, 1377786228202777, 1377786228204335]"
3950807440859812,"[1377786215983914, 1377786218079919, 1377786216879687, 1377786216908181, 1377786216868933]"
5506791990825297,"[1377786228244009, 1377786223658622, 1377786228138605, 1377786228247297, 1377786228263754]"
5506791955799931,"[1377786216539300, 1377786226393655, 1377786222061178, 1377786228104451, 1377786227436470]"
5506791991248677,"[1377786227436470, 1377786228215330, 1377786225787719, 1377786220882687, 1377786222061178]"
5506791985820013,"[1377786217541698, 1377786215825302, 1377786216868933, 1377786216005047, 1377786215941727]"
5506791976249556,"[1377786215983914, -487510917343544, 1377786217541698, 1377786216879687, 1377786216272047]"
5506791959540106,"[1377786228209398, 1377786222661799, 1377786215659344, 1377786228085111, 1377786228251617]"
5506791975420995,"[1377786220980365, 1377786221039926, 1377786225947153, 1377786219213829, 1377786215983914]"
5506791996412973,"[1377786225876547, 1377786225683100, 1377786227221196, 1377786225641873, 1377786225587868]"
5506791964306703,"[1377786215504942, 1377786217544226, 1377786215982409, 1377786216879687, 1377786216908181]"
5506791995371843,"[1377786217825371, 1377786218339707, 1377786219562503, 1377786228254642, 1377786218439980]"
4196541183992484,"[1377786219484054, 1377786217810862, 1377786217862730, 1377786220133847, 1377786219998033]"
5506791965331149,"[1377786215659344, 1377786226392895, 1377786225103297, 1377786226392303, 1377786226298656]"
5506791965049233,"[1377786217542469, 1377786217539749, 1377786218260033, 1377786218161468, 1377786218311285]"
5506791984216538,"[1377786221130965, 1377786220877853, 1377786221177576, 1377786220947040, 1377786221215097]"
5506791996666053,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786228217147]"
5506791974590575,"[1377786228085111, 1377786217785194, 1377786224374188, 1377786220221261, 1377786226392891]"
5506791984089199,"[1377786219736551, 1377786226392303, 1377786219834334, 1377786219904029, 1377786219978689]"
5506791959016510,"[1377786228127102, 1377786228237772, 1377786228205426, 1377786228324662, 1377786228209398]"
5506791964908416,"[1377786228127102, 1377786228170718, 1377786228178674, 1377786222830858, 1377786222916063]"
5506791979279469,"[1377786215471495, 1377786220005538, 1377786219923553, 1377786215504942, 1377786220039010]"
5506791964157777,"[1377786217862730, 1377786220144755, 1377786218917432, 1377786217804474, 1377786217810862]"
5506791985245771,"[1377786216539300, -253947406543160, 1377786215659344, 1377786222061178, 1377786226298656]"
5506791950755219,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786228217147]"
5506791956539014,"[1377786228202777, 1377786228179665, 1377786228261413, 1377786228324662, 1377786228235344]"
5506791976237524,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786228217147]"
5506791976924929,"[1377786228244009, 1377786228215330, 1377786220400659, 1377786224556465, 1377786228215454]"
5506791990358163,"[1377786216378587, 1377786216005047, 1377786216868933, -487510917343544, 1377786215825302]"
5506791963246728,"[1377786219904029, 1377786219978689, 1377786226392303, 1377786219600159, 1377786218199459]"
5506791995781292,"[1377786228232517, 1377786226392809, 1377786226392895, 1377786226392303, 1377786228254554]"
5506791996451555,"[1377786216539300, 1377786215659344, 1377786226298656, 1377786226298655, 1377786224438857]"
5506791951227479,"[1377786215504942, 1377786217544226, 1377786215982409, 1377786216689875, 1377786215757333]"
5506791990548272,"[1377786217748767, 1377786228244009, 1377786228179665, 1377786217749762, 1377786219230935]"
5506791996037864,"[1377786228205426, 1377786217187323, 1377786223081318, 1377786220135852, 1377786217556199]"
5506791995406720,"[1377786217541698, 1377786218106538, 1377786219978689, 1377786217645647, 1377786223359947]"
5506791970703345,"[1377786228138919, 1377786222636108, 1377786222636100, 1377786222061178, 1377786221145217]"
5506791965376306,"[1377786216539300, 1377786215659344, -253947406543160, 1377786226298656, 1377786217542469]"
5506791961853609,"[1377786217541698, 1377786215983914, 1377786216879687, 1377786218254052, 1377786215757333]"
5506791996516849,"[1377786228205426, 1377786228127102, 1377786228217915, 1377786228184482, 1377786228226721]"
5506791970657522,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786226392303]"
5506791995459431,"[1377786228217662, 1377786216291149, 1377786228139771, 1377786222959239, 1377786220953500]"
5506791958587186,"[1377786228217915, 1377786228127102, 1377786228226721, 1377786228243348, 1377786228205426]"
5506791956960669,"[1377786219736551, 1377786226392303, 1377786226298656, 1377786221977673, 1377786228232517]"
5506791954039650,"[1377786215504942, 1377786217544226, 1377786217828317, 1377786215982409, 1377786217798064]"
5506791984071314,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786228217147]"
5506791963705494,"[1377786219600159, 1377786226392303, 1377786228085111, 1377786228132810, 1377786218199459]"
5506791982527051,"[1377786228184482, 1377786228205426, 1377786228127102, 1377786228085111, 1377786228237216]"
3312161683579556,"[1377786217538997, 1377786217542469, 1377786217539749, 1377786215974586, 1377786220944748]"
5506791978249901,"[1377786227436470, 1377786226393655, 1377786228254554, 1377786226253410, 1377786228292999]"
5506791960341238,"[1377786217541698, 1377786215983914, 1377786216539300, 1377786226298656, 1377786217541005]"
5506791955389901,"[1377786228237216, 1377786228266128, 1377786228127102, 1377786228205426, 1377786228184482]"
5506791978600728,"[1377786217541005, 1377786215587791, 1377786219213829, 1377786219213742, 1377786217839195]"
5506791965851473,"[1377786228085111, 1377786227974987, 1377786228138363, 1377786226523236, 1377786227929274]"
5506791964344388,"[1377786226392303, 1377786219736551, -253947406543160, 1377786216539300, 1377786228066378]"
5506791970186761,"[1377786225419462, 1377786225184631, 1377786225345979, 1377786225384592, 1377786225822339]"
5506791996558800,"[1377786215504942, 1377786217540925, 1377786217544226, 1377786216539300, 1377786216079658]"
5506791963231062,"[1377786218106538, 1377786218156834, 1377786219848832, 1377786217541698, 1377786219085730]"
5506791949134601,"[1377786217542469, 1377786217539749, 1377786216539300, 1377786222526606, 1377786222061178]"
5506791962071898,"[1377786217810862, 1377786217862730, 1377786217685808, 1377786220133847, 1377786220031578]"
5506791962767438,"[1377786217804474, -253947406543160, 1377786217810862, 1377786218992829, 1377786217862730]"
5506791973690260,"[1377786217541698, 1377786217644504, 87762412934856, 1377786215749999, 1377786218133919]"
5506791971980592,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786226392303, 1377786228244009]"
5506791954660793,"[1377786217116066, 1377786216960610, 1377786217005296, 1377786216977050, 1377786217150795]"
5506791969942609,"[1377786228085111, 1377786228127102, 1377786228205426, 1377786219600159, 1377786220271093]"
5506791962475990,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786226392303]"
3374747665998500,"[1377786228205426, 1377786228184482, 1377786228226721, 1377786228237216, 1377786228127102]"
5506791987659246,"[1377786217032598, 1377786217100014, 1377786217022011, 1377786217052871, 1377786217011391]"
5506791953783092,"[1377786228243831, 1377786228250424, 1377786228205426, 1377786228290620, 1377786228184482]"
5506791996301268,"[1377786217541698, 1377786217541005, 1377786217644504, 1377786222424141, 1377786215939414]"
5506791976228041,"[1377786217541005, 1377786217538997, 1377786216783094, 1377786221228261, 1377786217581264]"
5506791965468953,"[1377786228085111, 1377786219600159, 1377786228208432, 1377786228238942, 1377786217785194]"
5506791957791248,"[1377786215982409, 1377786215504942, 1377786217544226, 1377786224071531, 1377786216079658]"
5506791976618325,"[1377786228232517, 1377786228237216, 1377786228200841, 1377786226392303, 1377786228205426]"
5506791951637160,"[1377786228184482, 1377786228127102, 1377786228205426, 1377786228237772, 1377786228266842]"
5506791981671719,"[1377786215659344, 1377786226392303, 1377786225103297, 1377786226392895, 1377786228172592]"
5506791956817946,"[1377786228205426, 1377786228127102, 1377786228200841, 1377786228244009, 1377786226392303]"
5506791957868222,"[1377786228127102, 1377786228217915, 1377786228324662, 1377786228202777, 1377786228204335]"
5506791948034509,"[1377786216539300, 1377786215659344, 1377786226298656, 1377786219736551, 1377786226109868]"
5506791995466559,"[-253947406543160, 1377786226298656, 1377786226298655, 1377786216539300, 1377786215659344]"
5506791996079838,"[1377786219897055, 1377786215471495, 1377786220005538, 1377786220078049, 1377786216948519]"
5506791996041772,"[1377786228215330, 1377786225082013, 1377786224098410, 1377786221449487, 1377786224926009]"
